iter	Passed	Remaining
0	152	152223
1	174	87072
2	187	62471
3	202	50513
4	214	42770
5	225	37342
6	233	33114
7	240	29851
8	248	27345
9	254	25198
10	262	23589
11	268	22066
12	274	20816
13	281	19843
14	287	18894
15	295	18184
16	301	17446
17	308	16812
18	315	16289
19	321	15759
20	329	15352
21	335	14915
22	342	14533
23	348	14156
24	354	13817
25	360	13514
26	366	13224
27	373	12964
28	379	12694
29	385	12450
30	391	12243
31	397	12036
32	403	11830
33	410	11651
34	416	11471
35	422	11318
36	428	11154
37	435	11013
38	441	10881
39	447	10742
40	453	10611
41	459	10486
42	465	10365
43	472	10257
44	478	10145
45	484	10043
46	490	9951
47	497	9858
48	503	9781
49	510	9703
50	516	9618
51	524	9558
52	530	9476
53	536	9396
54	543	9338
55	549	9265
56	558	9233
57	565	9181
58	575	9175
59	583	9134
60	590	9093
61	596	9028
62	603	8974
63	609	8909
64	615	8852
65	622	8812
66	628	8756
67	635	8710
68	641	8660
69	648	8609
70	655	8581
71	661	8531
72	668	8492
73	674	8445
74	681	8399
75	688	8371
76	694	8327
77	701	8291
78	707	8251
79	714	8212
80	721	8186
81	727	8145
82	734	8114
83	740	8072
84	746	8032
85	754	8014
86	760	7977
87	767	7950
88	773	7915
89	779	7882
90	787	7861
91	793	7827
92	799	7799
93	805	7768
94	812	7736
95	820	7724
96	828	7713
97	837	7705
98	843	7674
99	851	7667
100	857	7633
101	863	7605
102	870	7577
103	876	7548
104	883	7526
105	889	7501
106	895	7472
107	901	7447
108	907	7421
109	914	7397
110	920	7370
111	926	7345
112	932	7318
113	938	7294
114	945	7272
115	952	7256
116	959	7241
117	967	7231
118	974	7217
119	982	7206
120	990	7192
121	997	7181
122	1005	7167
123	1012	7154
124	1020	7141
125	1028	7130
126	1033	7107
127	1040	7085
128	1046	7063
129	1052	7042
130	1058	7020
131	1064	6998
132	1070	6977
133	1076	6957
134	1082	6934
135	1089	6919
136	1095	6898
137	1101	6877
138	1107	6858
139	1113	6841
140	1119	6822
141	1126	6805
142	1132	6785
143	1138	6768
144	1144	6750
145	1150	6732
146	1157	6716
147	1163	6699
148	1169	6682
149	1176	6664
150	1182	6646
151	1188	6628
152	1194	6613
153	1201	6597
154	1207	6582
155	1213	6564
156	1219	6545
157	1225	6529
158	1231	6513
159	1237	6495
160	1243	6478
161	1249	6461
162	1255	6446
163	1262	6433
164	1267	6416
165	1274	6403
166	1280	6388
167	1286	6371
168	1292	6357
169	1298	6341
170	1304	6326
171	1311	6311
172	1317	6296
173	1323	6282
174	1329	6266
175	1335	6251
176	1341	6237
177	1347	6223
178	1353	6208
179	1359	6195
180	1365	6180
181	1372	6169
182	1378	6155
183	1384	6141
184	1391	6128
185	1397	6114
186	1402	6098
187	1409	6086
188	1415	6072
189	1421	6060
190	1427	6047
191	1434	6035
192	1440	6021
193	1445	6007
194	1452	5994
195	1458	5982
196	1463	5967
197	1469	5953
198	1475	5940
199	1482	5929
200	1488	5915
201	1494	5903
202	1504	5905
203	1510	5893
204	1516	5881
205	1522	5868
206	1528	5856
207	1534	5843
208	1540	5832
209	1547	5820
210	1553	5809
211	1559	5797
212	1565	5784
213	1571	5773
214	1578	5763
215	1584	5752
216	1591	5741
217	1597	5729
218	1603	5719
219	1609	5706
220	1615	5694
221	1621	5683
222	1628	5672
223	1634	5663
224	1640	5650
225	1646	5639
226	1652	5628
227	1659	5618
228	1665	5607
229	1671	5595
230	1677	5585
231	1683	5574
232	1689	5563
233	1695	5551
234	1702	5540
235	1707	5529
236	1714	5518
237	1720	5507
238	1726	5496
239	1732	5486
240	1738	5475
241	1744	5464
242	1751	5455
243	1757	5445
244	1763	5435
245	1770	5425
246	1776	5415
247	1782	5406
248	1789	5396
249	1795	5385
250	1801	5376
251	1807	5365
252	1814	5357
253	1820	5347
254	1826	5335
255	1832	5324
256	1838	5316
257	1845	5308
258	1851	5297
259	1857	5287
260	1863	5277
261	1870	5267
262	1876	5257
263	1882	5248
264	1888	5238
265	1894	5228
266	1900	5217
267	1906	5207
268	1912	5197
269	1919	5188
270	1924	5178
271	1931	5168
272	1937	5159
273	1943	5150
274	1950	5141
275	1956	5131
276	1962	5122
277	1968	5113
278	1975	5105
279	1981	5095
280	1987	5086
281	1993	5076
282	1999	5066
283	2006	5057
284	2012	5048
285	2018	5038
286	2024	5028
287	2030	5019
288	2036	5010
289	2042	5001
290	2049	4992
291	2054	4981
292	2060	4972
293	2066	4963
294	2072	4953
295	2078	4944
296	2084	4934
297	2091	4926
298	2097	4917
299	2103	4908
300	2109	4899
301	2116	4891
302	2122	4881
303	2128	4873
304	2134	4864
305	2140	4855
306	2147	4846
307	2152	4837
308	2159	4828
309	2165	4819
310	2171	4810
311	2177	4801
312	2183	4793
313	2189	4784
314	2195	4774
315	2202	4766
316	2208	4757
317	2214	4748
318	2220	4739
319	2226	4731
320	2232	4723
321	2239	4714
322	2245	4705
323	2251	4697
324	2257	4689
325	2264	4681
326	2270	4672
327	2276	4663
328	2282	4655
329	2288	4646
330	2294	4638
331	2300	4628
332	2306	4620
333	2313	4612
334	2319	4605
335	2325	4596
336	2331	4587
337	2338	4580
338	2344	4571
339	2350	4562
340	2357	4555
341	2363	4547
342	2370	4540
343	2376	4532
344	2382	4523
345	2389	4516
346	2395	4508
347	2402	4501
348	2408	4492
349	2414	4484
350	2421	4477
351	2427	4468
352	2433	4459
353	2439	4451
354	2446	4444
355	2453	4438
356	2461	4432
357	2469	4428
358	2477	4423
359	2485	4417
360	2492	4411
361	2499	4404
362	2506	4398
363	2514	4393
364	2522	4387
365	2529	4382
366	2537	4376
367	2544	4370
368	2552	4364
369	2560	4359
370	2567	4352
371	2575	4347
372	2582	4340
373	2589	4334
374	2597	4328
375	2604	4321
376	2611	4315
377	2620	4311
378	2627	4305
379	2635	4300
380	2642	4293
381	2650	4288
382	2658	4282
383	2666	4277
384	2673	4270
385	2680	4264
386	2688	4257
387	2695	4250
388	2701	4243
389	2707	4235
390	2713	4226
391	2719	4218
392	2726	4210
393	2732	4202
394	2738	4193
395	2743	4184
396	2749	4176
397	2755	4168
398	2761	4159
399	2767	4151
400	2773	4143
401	2779	4135
402	2786	4127
403	2791	4118
404	2798	4110
405	2804	4103
406	2811	4095
407	2816	4087
408	2822	4078
409	2828	4070
410	2834	4062
411	2840	4054
412	2847	4046
413	2853	4038
414	2859	4030
415	2864	4021
416	2870	4013
417	2877	4006
418	2882	3997
419	2888	3989
420	2895	3981
421	2901	3973
422	2906	3964
423	2912	3956
424	2918	3948
425	2925	3941
426	2930	3932
427	2936	3924
428	2942	3916
429	2947	3907
430	2953	3899
431	2959	3890
432	2965	3883
433	2970	3874
434	2976	3866
435	2982	3858
436	2988	3850
437	2995	3843
438	3000	3834
439	3005	3825
440	3012	3818
441	3018	3810
442	3025	3803
443	3030	3795
444	3036	3786
445	3044	3782
446	3050	3773
447	3057	3766
448	3062	3757
449	3067	3749
450	3075	3743
451	3080	3734
452	3085	3725
453	3093	3720
454	3098	3711
455	3104	3703
456	3110	3696
457	3115	3687
458	3123	3681
459	3128	3672
460	3133	3663
461	3140	3656
462	3145	3647
463	3150	3639
464	3158	3634
465	3164	3626
466	3173	3621
467	3179	3614
468	3184	3605
469	3192	3599
470	3197	3590
471	3204	3584
472	3209	3575
473	3214	3567
474	3221	3560
